2507	805	5
274	825	1
1530	760	4
106	882	1
882	859	1
498	716	1
597	741	1
455	720	1
2072	748	1
279	759	1
1477	762	0
285	727	1
264	734	1
291	767	1
266	759	1
958	802	9
190	762	2
1019	739	1
663	852	1
524	723	1
458	718	0
235	731	2
229	740	1
334	747	1
290	739	1
277	734	0
285	722	1
259	717	1
271	730	0
1545	845	0
82	744	1
864	807	1
838	753	1
843	711	0
69	730	1
71	854	1
59	726	0
975	750	1
60	1002	2
134	322	0
1029	834	4
92	843	0
966	750	1
680	874	1
508	744	0
619	730	0
242	715	1
235	745	0
322	747	1
272	718	1
296	723	0
300	733	1
258	736	1
270	758	0
78	776	5
1043	765	7
132	834	1
851	786	2
637	737	1
521	760	0
506	751	0
274	794	1
297	349	1
1220	831	6
108	809	1
1132	154	1
1073	887	7
139	805	1
1077	829	7
130	842	1
967	776	0
1174	798	7
200	853	1
927	95	2
1170	805	6
1113	880	8
114	755	1
916	735	1
